90,한국타이어앤테크놀로지,"38,550",상승,450,+1.18%,500,"524,861","20,214","38,500","47,754","17,623",4.43,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
91,TIGER CD금리투자KIS(합성),"56,150",상승,15,+0.03%,0,"152,106","8,540","56,145","47,749",N/A,N/A,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
92,넷마블,"54,700",하락,400,-0.73%,100,"147,353","8,089","54,700","47,017","2,156",46.24,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
93,에이피알,"124,800",상승,"1,600",+1.30%,100,"337,544","42,192","124,800","46,983","1,227",35.50,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
94,두산밥캣,"47,600",상승,400,+0.85%,500,"229,222","10,986","47,600","45,627","8,714",10.33,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
95,CJ,"151,900",상승,"16,500",+12.19%,"5,000","578,240","86,198","151,900","44,320","25,475",54.54,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
96,오리온,"111,700",상승,900,+0.81%,500,"161,117","18,038","111,700","44,162","5,436",8.25,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
97,KODEX 미국S&P500,"18,700",상승,250,+1.36%,0,"2,267,279","42,526","18,695","43,861",N/A,N/A,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
98,삼성E&A,"21,850",상승,400,+1.86%,"5,000","853,163","18,612","21,850","42,826","9,716",5.74,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
99,키움증권,"173,000",상승,"10,600",+6.53%,"5,000","283,356","48,899","172,900","42,345","10,982",5.90,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
100,LG디스플레이,"8,420",상승,110,+1.32%,"5,000","1,100,984","9,258","8,420","42,100","-5,606",-2.06,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
