N,종목명,현재가,전일비변동,전일비,등락률,액면가,거래량,거래대금,매수호가,시가총액,영업이익,PER,전일거래량,시가,매도호가,자산총계,영업이익증가율,ROE,고가,매수총잔량,부채총계,당기순이익,외국인비율,ROA,저가,매도총잔량,상장주식수,매출액,주당순이익,PBR,보통주배당금,매출액증가율
458,에이스테크,"2,495",상승,10,+0.40%,500,"24,912",62,"2,515","1,884",-311,-2.74,"221,515","2,500","2,520","3,049",49.99,-67.32,"2,550","2,786","2,093",-408,0.00,-14.44,"2,465","1,317","75,506","1,451",-909,1.93,0,3.59
459,KT나스미디어,"16,250",상승,90,+0.56%,500,970,16,"16,170","1,880",199,-28.71,"37,299","16,170","16,180","4,927",-2.81,-3.13,"16,320",312,"2,533",-46,5.95,-0.92,"16,110",29,"11,568","1,426",-566,0.94,700,-2.87
460,유니셈,"6,120",하락,10,-0.16%,500,"8,965",55,"6,120","1,877",100,13.75,"204,648","6,120","6,160","2,631",-42.64,7.02,"6,190",205,348,155,7.67,6.12,"6,060",325,"30,664","2,182",445,0.78,80,-6.01
461,현대사료,994,보합,0,0.00%,100,0,0,0,"1,873",27,4.38,0,0,0,"1,170",-56.45,340.50,0,0,281,284,2.38,25.24,0,0,"188,472","1,285",227,2.24,N/A,-20.01
462,강원에너지,"7,150",하락,70,-0.97%,500,"1,780",13,"7,170","1,868",68,74.48,"49,750","7,170","7,220","1,639",-2.25,2.60,"7,230",107,920,-6,1.74,-0.35,"7,130",17,"26,123","2,244",96,4.56,N/A,61.21
463,디와이피엔에프,"17,290",상승,80,+0.46%,500,"2,117",37,"17,080","1,852",246,7.39,"44,567","17,210","17,210","3,208",195.44,15.14,"17,330",237,"1,926",182,4.48,5.94,"17,100",120,"10,714","2,810","2,339",1.21,N/A,95.08
464,BGF에코머티리얼즈,"2,950",상승,10,+0.34%,500,"1,826",5,"2,940","1,852",140,13.23,"75,890","2,940","2,945","7,152",-18.51,4.00,"2,950",4,"2,213",155,1.05,2.41,"2,935",401,"62,767","3,643",223,0.45,50,27.54
465,모다이노칩,"2,320",상승,20,+0.87%,500,"1,550",4,"2,295","1,850",386,23.92,"25,231","2,280","2,300","9,681",137.95,3.47,"2,320",3,"5,865",127,0.16,1.30,"2,265",487,"79,722","3,889",97,0.51,N/A,-0.28
466,사피엔반도체,"22,450",하락,250,-1.10%,100,"1,839",41,"22,700","1,844",-34,-74.83,"134,842","22,700","22,800",312,50.22,-125.23,"22,700",14,148,-171,4.25,-64.70,"22,200",7,"8,213",80,-300,11.97,0,148.96
467,경동제약,"5,980",상승,20,+0.34%,500,857,5,"5,960","1,840",26,31.64,"12,220","5,960","5,970","3,029",110.51,2.44,"5,990",23,825,54,1.68,1.83,"5,930","1,632","30,769","1,939",189,0.75,300,19.22
468,HB테크놀러지,"1,965",하락,23,-1.16%,500,"228,799",448,"1,980","1,822",-165,-2.42,"5,943,194","1,980","1,981","3,488",25.16,-18.17,"1,981",300,921,-516,0.46,-13.70,"1,942",388,"92,716","1,624",-811,0.69,500,-5.75
469,더네이쳐홀딩스,"12,230",상승,210,+1.75%,500,"3,545",43,"11,970","1,816",301,9.33,"32,637","12,000","11,990","6,983",-55.05,4.91,"12,230",4,"2,987",190,8.50,2.84,"11,950",129,"14,848","5,169","1,311",0.50,20,45.43
470,아티스트스튜디오,"18,140",상승,20,+0.11%,500,"13,672",247,"17,910","1,813",-73,-12.17,"122,669","18,010","18,040",593,5.99,-31.73,"18,200",141,51,-150,0.62,-27.16,"17,860","2,694","9,996",273,"-1,491",3.37,N/A,-34.77
471,사람인,"15,460",상승,130,+0.85%,500,937,14,"15,150","1,810",213,18.25,"36,056","15,330","15,330","2,097",-15.84,7.12,"15,650",470,297,123,22.50,5.94,"15,160",45,"11,709","1,284",847,0.94,500,-2.41
472,에스피소프트,"7,300",보합,0,0.00%,100,"6,025",44,"7,260","1,806",38,46.50,"148,850","7,260","7,270",768,N/A,N/A,"7,300",628,142,3,2.19,N/A,"7,180","1,176","24,741",451,157,2.77,0,N/A
473,대한약품,"29,950",상승,100,+0.34%,500,"1,875",56,"29,750","1,797",381,5.42,"21,122","29,850","29,800","3,244",6.38,12.89,"30,000",321,484,338,16.92,10.91,"29,650",120,"6,000","2,042","5,523",0.63,900,4.23
474,와이솔,"6,480",상승,60,+0.93%,500,"2,184",14,"6,410","1,793",5,-57.86,"78,067","6,410","6,420","4,143",-96.58,3.12,"6,480",310,524,110,5.84,2.71,"6,410",409,"27,672","3,750",-112,0.53,500,1.42
475,넥써쓰,"3,050",상승,45,+1.50%,500,"60,589",182,"3,015","1,791",-89,-42.36,"1,319,468","3,005","3,020",338,44.70,-29.78,"3,060","7,766",80,-82,1.22,-22.40,"2,975","1,425","58,718",76,-72,5.57,0,38.29
476,하나기술,"22,300",상승,750,+3.48%,500,"7,134",155,"21,500","1,783",-264,-11.98,"95,505","21,550","21,550","2,400",-318.01,-14.73,"22,500",272,"1,421",-155,2.05,-6.58,"21,250",717,"7,995",942,"-1,861",1.86,0,-21.45
477,일진파워,"11,820",보합,0,0.00%,500,0,0,0,"1,782",103,97.69,0,0,0,"2,705",-21.70,7.94,0,0,"1,333",99,1.43,4.27,0,0,"15,079","1,931",121,1.36,330,1.19
478,이엠텍,"10,400",상승,10,+0.10%,500,"3,461",36,"10,350","1,782",-305,-3.71,"120,873","10,290","10,390","3,462",-109.01,-19.74,"10,470",721,"1,398",-447,5.84,-11.84,"10,290",286,"17,133","1,676","-2,801",0.85,N/A,-36.39
479,에스와이,"3,640",상승,10,+0.28%,500,"18,736",68,"3,635","1,780",219,-101.11,"227,651","3,635","3,640","4,334",61.79,2.02,"3,640",811,"2,375",63,1.05,1.47,"3,600","4,424","48,907","5,610",-36,0.94,N/A,1.33
480,HB솔루션,"2,425",하락,5,-0.21%,500,"11,594",28,"2,430","1,774",193,-4.46,"271,992","2,430","2,450","2,933",185.95,-9.21,"2,450",17,724,-208,3.03,-7.02,"2,410","1,116","73,141","1,315",-544,0.80,30,36.77
481,인피니트헬스케어,"7,270",상승,40,+0.55%,500,"11,615",83,"7,270","1,774",139,5.34,"180,421","7,300","7,300","2,324",109.54,28.16,"7,300",13,516,446,3.74,21.92,"7,120",376,"24,396","1,016","1,361",1.00,N/A,14.80
482,젝시믹스,"5,910",하락,30,-0.51%,500,"1,620",10,"5,960","1,766",249,9.23,"98,234","5,940","6,150","1,727",36.85,20.72,"5,960","1,043",582,209,3.46,13.69,"5,890","1,990","29,882","2,716",640,1.61,180,16.78
483,삼지전자,"10,800",하락,70,-0.64%,500,"3,550",38,"10,870","1,762","1,156",2.70,"86,014","10,870","10,950","12,019",47.57,16.21,"10,920","1,316","5,617",941,5.83,8.49,"10,770",6,"16,319","33,597","4,004",0.39,450,32.99
484,슈피겐코리아,"28,350",하락,350,-1.22%,500,207,6,"28,100","1,762",217,6.24,"8,161","28,450","28,600","5,690",-38.42,5.89,"28,600",200,509,279,8.56,5.14,"28,200",83,"6,216","4,653","4,540",0.33,462,4.00
485,녹십자웰빙,"9,910",하락,70,-0.70%,500,"5,213",52,"9,910","1,759",130,16.09,"63,419","9,910","10,010","1,615",N/A,N/A,"10,000",471,566,71,4.30,N/A,"9,830",203,"17,752","1,338",616,1.63,120,N/A
486,유비쿼스홀딩스,"9,960",보합,0,0.00%,500,252,3,"9,860","1,753",143,25.67,"16,059","9,960","9,960","3,877",-55.99,3.64,"9,980",98,311,214,3.53,5.50,"9,860",6,"17,605","1,256",388,0.66,130,-26.78
487,블루엠텍,"5,230",하락,30,-0.57%,100,"67,937",352,"5,090","1,753",-69,-37.90,"349,622","5,180","5,180","1,157",N/A,N/A,"5,230","4,214",685,-48,1.90,N/A,"5,160","4,656","33,511","1,333",-138,3.85,0,N/A
488,알서포트,"3,280",상승,5,+0.15%,100,"31,669",103,"3,260","1,747",37,84.10,"235,525","3,260","3,265","1,205",-53.60,3.23,"3,285","2,723",246,31,20.02,2.75,"3,255",24,"53,267",475,39,1.78,10,-5.72
489,파워로직스,"4,760",하락,35,-0.73%,500,"17,852",85,"4,730","1,743",24,39.67,"166,731","4,730","4,770","4,161",-84.46,5.32,"4,770","2,704","1,981",100,0.82,2.49,"4,725",770,"36,611","7,334",120,0.82,N/A,-5.14
490,에스와이스틸텍,"5,670",하락,130,-2.24%,500,"57,303",325,"5,710","1,736",81,37.30,"744,310","5,710","5,720",800,-44.49,12.65,"5,710","4,221",299,61,2.57,7.62,"5,620","2,819","30,610","1,170",152,3.53,50,-2.32
491,서울옥션,"9,760",상승,160,+1.67%,500,"44,023",427,"9,600","1,735",-34,-13.65,"672,034","9,610","9,650","2,125",4.44,-8.44,"9,790",163,"1,049",-95,1.44,-4.63,"9,590",375,"17,774",206,-715,1.58,N/A,-54.19
492,엠에스씨,"9,840",보합,0,0.00%,500,"11,810",116,"9,820","1,732",275,7.18,"352,852","9,750","9,830","2,595",16.10,13.61,"9,920",166,899,218,5.76,9.01,"9,630",66,"17,600","1,898","1,371",1.00,110,0.38
493,자이언트스텝,"7,750",상승,150,+1.97%,500,"44,017",336,"7,560","1,729",-173,-6.41,"121,267","7,570","7,570",917,33.64,-33.10,"7,790",207,216,-283,2.69,-25.85,"7,490",766,"22,312",501,"-1,209",2.64,N/A,18.39
494,엔케이맥스,"2,020",보합,0,0.00%,500,0,0,0,"1,727",-51,-5.40,0,0,0,232,92.46,219.63,0,0,464,-355,4.73,-91.48,0,0,"85,519",88,-374,-7.32,N/A,-18.29
495,한라IMS,"10,050",상승,50,+0.50%,500,"6,960",70,"10,000","1,720",160,11.37,"103,811","10,000","10,060","2,083",197.53,8.22,"10,060",245,366,137,4.97,6.38,"9,820","1,801","17,110","1,042",884,0.96,300,32.04
496,마음AI,"24,300",상승,400,+1.67%,500,"45,615","1,097","23,900","1,707",-71,-13.88,"330,573","23,900","23,950",497,-84.58,-51.91,"24,500",631,364,-87,2.07,-16.49,"15,480",126,"10,907",813,274,2.39,50,-2.36
497,한국파마,"15,650",상승,190,+1.23%,500,"1,818",28,"15,470","1,707",61,57.12,"33,348","15,610","15,610","1,124",-2.92,5.42,"15,690",708,409,38,0.87,3.25,"23,450",32,"7,025",78,"-1,751",7.97,0,-23.96
498,마크로젠,"15,700",상승,50,+0.32%,500,570,9,"15,680","1,702",-65,-22.18,"9,229","15,840","15,860","3,297","-1,427.80",-4.75,"15,840",14,"1,522",-78,1.94,-2.65,"15,650",138,"10,841","1,358",-708,1.09,300,2.24
499,지어소프트,"10,970",하락,130,-1.17%,500,"6,997",77,"11,100","1,698",291,8.93,"127,961","11,100","11,110","3,048",91.31,12.90,"11,130",328,881,280,9.90,9.32,"10,900",6,"15,474","5,472","1,228",1.08,N/A,7.52
500,마이크로디지탈,"9,420",하락,80,-0.84%,500,"1,822",17,"9,410","1,697",3,-196.25,"113,632","9,570","9,570",542,-68.20,2.38,"9,570",200,251,4,1.59,1.07,"9,390",915,"18,015",115,-48,5.02,0,6.40
