N,종목명,현재가,전일비변동,전일비,등락률,액면가,거래량,거래대금,매수호가,시가총액,영업이익,PER,액면가,전일거래량,시가,매도호가,자산총계,영업이익증가율,액면가,고가,매수총잔량,부채총계,당기순이익,외국인비율,액면가,저가,매도총잔량,상장주식수,매출액,주당순이익,액면가,보통주배당금
42,서진시스템,"22,600",상승,50,+0.22%,500,"219,437","4,993","22,550","12,712","1,087",25.68,500,"327,462","23,000","22,600","21,032",121.85,500,"23,050","25,134","12,276",839,7.17,500,"22,500","16,278","56,248","12,138",880,500,N/A
43,메디톡스,"164,700",하락,"8,000",-4.63%,500,"108,011","17,924","164,600","12,021",203,57.35,500,"55,597","172,100","164,700","6,152",17.47,500,"172,800","1,227","1,444",161,11.80,500,"163,300",870,"7,298","2,286","2,872",500,"1,100"
44,메지온,"39,650",보합,0,0.00%,500,"70,517","2,834","39,650","11,898",-143,-51.90,500,"126,571","39,750","39,700",740,1.31,500,"40,750","1,971",279,-195,20.95,500,"39,650",928,"30,007",86,-764,500,0
45,하이젠알앤엠,"38,500",상승,50,+0.13%,500,"197,275","7,535","38,450","11,892",-4,-303.15,500,"300,804","38,600","38,500","1,202",-108.52,500,"38,850","4,277",518,-11,4.13,500,"37,250","9,515","30,888",759,-127,500,N/A
46,ISC,"55,200",상승,"3,600",+6.98%,500,"260,053","14,319","55,100","11,701",448,25.60,500,"142,646","52,000","55,200","5,829",317.11,500,"56,900","2,610",597,549,18.56,500,"51,600","1,683","21,197","1,745","2,156",500,810
47,원익IPS,"23,750",상승,500,+2.15%,500,"227,905","5,429","23,750","11,657",106,30.29,500,"207,538","23,500","23,800","11,241",158.88,500,"24,300","5,912","2,367",207,24.62,500,"23,200","11,293","49,084","7,482",784,500,50
48,비에이치아이,"37,550",상승,750,+2.04%,500,"1,759,944","65,118","37,500","11,620",219,52.15,500,"878,943","38,750","37,550","5,248",45.34,500,"38,750","12,642","4,083",196,18.69,500,"35,300","30,525","30,944","4,047",720,500,N/A
49,HK이노엔,"41,000",하락,250,-0.61%,500,"143,641","5,901","41,000","11,615",882,16.95,500,"119,466","41,350","41,050","18,896",33.82,500,"41,600","4,055","6,382",616,8.85,500,"40,550","5,225","28,330","8,971","2,419",500,350
50,대주전자재료,"74,600",상승,900,+1.22%,500,"91,569","6,827","74,600","11,549",294,30.42,500,"97,934","74,000","74,700","6,230",372.76,500,"75,700","2,673","3,927",364,18.69,500,"73,200","3,713","15,481","2,193","2,452",500,100
51,지아이이노베이션,"18,180",상승,100,+0.55%,500,"742,260","13,422","18,120","11,201",-483,-16.85,500,"1,277,217","17,930","18,180",458,9.46,500,"18,620","2,409",167,-588,4.35,500,"17,640","5,414","61,614",0,"-1,079",500,0
52,티씨케이,"95,500",상승,"1,000",+1.06%,500,"39,363","3,777","95,500","11,150",807,14.69,500,"60,316","95,400","95,600","5,635",21.06,500,"97,800",407,473,720,65.39,500,"90,400",974,"11,675","2,757","6,503",500,"1,410"
