N,종목명,현재가,전일비변동,전일비,등락률,액면가,주당순이익,PER,ROE,ROA,PBR,유보율
286,SOL 초단기채권액티브,"53,205",상승,10,+0.02%,0,N/A,N/A,N/A,N/A,N/A,N/A
287,SK디스커버리,"47,900",상승,"1,050",+2.24%,"5,000","4,037",11.87,0.88,0.23,0.32,"3,564.1"
288,미원상사,"184,000",상승,"1,600",+0.88%,500,"11,599",15.86,12.99,10.92,2.11,"6,113.9"
289,HS효성첨단소재,"194,100",하락,"5,000",-2.51%,"5,000","7,152",27.14,5.46,2.24,0.86,"3,155.1"
290,SNT홀딩스,"52,900",상승,900,+1.73%,500,"8,835",5.99,12.40,8.91,0.61,"14,872.7"
291,TIGER 단기통안채,"110,550",상승,10,+0.01%,0,N/A,N/A,N/A,N/A,N/A,N/A
292,교보증권,"7,430",하락,390,-4.99%,"5,000","1,033",7.19,6.09,0.75,0.42,249.5
293,NICE평가정보,"14,200",하락,340,-2.34%,500,"1,294",10.97,19.48,14.09,2.06,"1,289.0"
294,빙그레,"88,400",하락,"2,100",-2.32%,"5,000","9,794",9.03,15.14,10.90,1.11,"1,399.0"
295,SOL 종합채권(AA-이상)액티브,"115,270",상승,20,+0.02%,0,N/A,N/A,N/A,N/A,N/A,N/A
296,KIWOOM 200TR,"46,750",하락,65,-0.14%,0,N/A,N/A,N/A,N/A,N/A,N/A
297,태영건설,"2,795",하락,5,-0.18%,500,55,50.82,61.93,1.49,1.70,745.0
298,프레스티지바이오파마,"13,680",상승,430,+3.25%,0,-497,-27.53,-7.40,-7.58,2.11,-39.3
299,PLUS 고배당주,"16,980",하락,215,-1.25%,0,N/A,N/A,N/A,N/A,N/A,N/A
300,미래에셋증권2우B,"5,960",상승,200,+3.47%,"5,000","1,229",4.85,N/A,N/A,0.29,N/A
301,미원에스씨,"163,500",상승,"1,600",+0.99%,500,"11,447",14.28,14.00,11.21,1.93,"16,072.7"
302,KODEX 25-11 은행채(AA-이상)PLUS액티브,"10,565",보합,0,0.00%,0,N/A,N/A,N/A,N/A,N/A,N/A
303,KODEX 2차전지산업,"9,745",하락,85,-0.86%,0,N/A,N/A,N/A,N/A,N/A,N/A
304,세아베스틸지주,"22,700",하락,700,-2.99%,"5,000",285,79.65,1.04,0.54,0.43,715.5
305,TIGER 미국30년국채스트립액티브(합성 H),"37,005",하락,500,-1.33%,0,N/A,N/A,N/A,N/A,N/A,N/A
306,하나투어,"51,100",상승,300,+0.59%,500,"4,487",11.39,47.19,15.09,5.23,"2,458.6"
307,동원F&B,"40,650",보합,0,0.00%,"1,000","6,169",6.59,12.43,5.88,0.71,"5,694.5"
308,율촌화학,"31,600",상승,"2,750",+9.53%,500,-856,-36.92,-2.86,-1.28,2.67,"1,862.9"
309,PLUS K방산,"41,565",상승,790,+1.94%,0,N/A,N/A,N/A,N/A,N/A,N/A
310,CJ CGV,"4,675",하락,75,-1.58%,500,"-1,084",-4.31,-30.74,-4.88,1.18,-100.0
311,KODEX Top5PlusTR,"21,995",하락,230,-1.03%,0,N/A,N/A,N/A,N/A,N/A,N/A
312,SNT모티브,"28,750",하락,800,-2.71%,"5,000","3,718",7.73,10.82,8.51,0.69,"1,363.0"
313,TIGER 단기채권액티브,"55,765",보합,0,0.00%,0,N/A,N/A,N/A,N/A,N/A,N/A
314,SOL 미국배당다우존스,"10,435",하락,80,-0.76%,0,N/A,N/A,N/A,N/A,N/A,N/A
315,N2 KIS CD금리투자 ETN,"53,895",보합,0,0.00%,0,N/A,N/A,N/A,N/A,N/A,N/A
316,대상,"21,700",보합,0,0.00%,"1,000","2,865",7.57,6.94,2.83,0.55,"3,884.4"
317,ACE 종합채권(AA-이상)KIS액티브,"108,845",상승,115,+0.11%,0,N/A,N/A,N/A,N/A,N/A,N/A
318,영풍,"39,250",하락,700,-1.75%,500,"2,169",18.10,-6.81,-5.82,0.18,"38,540.1"
319,솔루엠,"15,120",하락,220,-1.43%,500,612,24.71,9.48,3.92,1.67,"1,802.5"
320,TIGER 2차전지테마,"11,955",하락,150,-1.24%,0,N/A,N/A,N/A,N/A,N/A,N/A
321,케이카,"15,360",상승,270,+1.79%,500,968,15.87,19.09,8.15,3.31,822.2
322,보령,"8,620",하락,120,-1.37%,500,617,13.97,10.45,6.70,0.93,"1,752.0"
323,대덕전자,"14,960",하락,20,-0.13%,500,312,47.95,2.73,2.14,0.91,"3,287.4"
324,TIGER 미국나스닥100타겟데일리커버드콜,"9,150",하락,110,-1.19%,0,N/A,N/A,N/A,N/A,N/A,N/A
325,동아쏘시오홀딩스,"111,900",보합,0,0.00%,"5,000","10,412",10.75,5.63,2.89,0.68,"3,665.0"
326,LG화학우,"94,800",하락,"3,000",-3.07%,"5,000","-11,946",-7.94,N/A,N/A,0.22,N/A
327,이노션,"17,970",하락,210,-1.16%,500,"2,166",8.30,10.48,4.40,0.73,"4,895.0"
328,전진건설로봇,"48,700",하락,100,-0.20%,500,"2,064",23.59,24.55,16.64,5.04,"1,603.7"
329,파미셀,"11,830",상승,90,+0.77%,500,269,43.98,7.59,6.60,7.58,188.4
330,KODEX 미국S&P500(H),"13,520",하락,45,-0.33%,0,N/A,N/A,N/A,N/A,N/A,N/A
331,SK이터닉스,"20,650",상승,"1,150",+5.90%,200,738,27.98,N/A,N/A,2.87,"3,489.3"
